timestamp,Solarproduktion,temperature_2m,cloud_cover_low,ghi_cloudy_sky,ghi_clear_sky
2022-02-07 15:00:00,218,4.4,36.0,54.51,75.92
2022-02-07 15:15:00,197,4.125,32.0,50.7,70.61
2022-02-07 15:30:00,201,3.85,28.0,46.48,64.74
2022-02-07 15:45:00,205,3.575,24.0,41.91,58.37
2022-02-07 16:00:00,62,3.3,20.0,37.01,51.55
2022-02-07 16:15:00,124,3.55,17.75,38.08,44.37
2022-02-07 16:30:00,353,3.8,15.5,34.71,36.91
2022-02-07 16:45:00,255,4.05,13.25,28.76,29.31
2022-02-07 17:00:00,129,4.3,11.0,21.64,21.71
2022-02-07 17:15:00,63,4.075,18.25,14.24,14.34
2022-02-07 17:30:00,25,3.85,25.5,7.47,7.56
2022-02-07 17:45:00,12,3.625,32.75,2.06,2.1
2022-02-07 18:00:00,2,3.4,40.0,0.0,0.0
2022-02-07 18:15:00,1,3.325,32.25,0.0,0.0
2022-02-07 18:30:00,0,3.25,24.5,0.0,0.0
2022-02-07 18:45:00,0,3.175,16.75,0.0,0.0
2022-02-07 19:00:00,0,3.1,9.0,0.0,0.0
2022-02-07 19:15:00,0,2.9,14.0,0.0,0.0
2022-02-07 19:30:00,0,2.7,19.0,0.0,0.0
2022-02-07 19:45:00,0,2.5,24.0,0.0,0.0
2022-02-07 20:00:00,0,2.3,29.0,0.0,0.0
2022-02-07 20:15:00,0,2.2,31.25,0.0,0.0
2022-02-07 20:30:00,0,2.1,33.5,0.0,0.0
2022-02-07 20:45:00,0,2.0,35.75,0.0,0.0
2022-02-07 21:00:00,0,1.9,38.0,0.0,0.0
2022-02-07 21:15:00,0,1.875,44.0,0.0,0.0
2022-02-07 21:30:00,0,1.85,50.0,0.0,0.0
2022-02-07 21:45:00,0,1.825,56.0,0.0,0.0
2022-02-07 22:00:00,0,1.8,62.0,0.0,0.0
2022-02-07 22:15:00,0,1.85,71.5,0.0,0.0
2022-02-07 22:30:00,0,1.9,81.0,0.0,0.0
2022-02-07 22:45:00,0,1.95,90.5,0.0,0.0
2022-02-07 23:00:00,0,2.0,100.0,0.0,0.0
2022-02-07 23:15:00,0,2.1,100.0,0.0,0.0
2022-02-07 23:30:00,0,2.2,100.0,0.0,0.0
2022-02-07 23:45:00,0,2.3,100.0,0.0,0.0
2022-02-08 00:00:00,0,2.4,100.0,0.0,0.0
2022-02-08 00:15:00,0,2.425,100.0,0.0,0.0
2022-02-08 00:30:00,0,2.45,100.0,0.0,0.0
2022-02-08 00:45:00,0,2.475,100.0,0.0,0.0
2022-02-08 01:00:00,0,2.5,100.0,0.0,0.0
2022-02-08 01:15:00,0,2.45,100.0,0.0,0.0
2022-02-08 01:30:00,0,2.4,100.0,0.0,0.0
2022-02-08 01:45:00,0,2.35,100.0,0.0,0.0
2022-02-08 02:00:00,0,2.3,100.0,0.0,0.0
2022-02-08 02:15:00,0,2.35,100.0,0.0,0.0
2022-02-08 02:30:00,0,2.4,100.0,0.0,0.0
2022-02-08 02:45:00,0,2.45,100.0,0.0,0.0
2022-02-08 03:00:00,0,2.5,100.0,0.0,0.0
2022-02-08 03:15:00,0,2.525,100.0,0.0,0.0
2022-02-08 03:30:00,0,2.55,100.0,0.0,0.0
2022-02-08 03:45:00,0,2.575,100.0,0.0,0.0
2022-02-08 04:00:00,0,2.6,100.0,0.0,0.0
2022-02-08 04:15:00,0,2.575,76.75,0.0,0.0
2022-02-08 04:30:00,0,2.55,53.5,0.0,0.0
2022-02-08 04:45:00,0,2.525,30.25,0.0,0.0
2022-02-08 05:00:00,0,2.5,7.0,0.0,0.0
2022-02-08 05:15:00,0,2.275,5.25,0.0,0.0
2022-02-08 05:30:00,0,2.05,3.5,0.0,0.0
2022-02-08 05:45:00,0,1.825,1.75,0.0,0.0
2022-02-08 06:00:00,0,1.6,0.0,0.0,0.0
2022-02-08 06:15:00,0,1.775,0.0,0.0,0.0
2022-02-08 06:30:00,0,1.95,0.0,0.0,0.0
2022-02-08 06:45:00,0,2.125,0.0,0.0,0.0
2022-02-08 07:00:00,0,2.3,0.0,0.0,0.0
2022-02-08 07:15:00,0,2.35,24.25,0.0,0.0
2022-02-08 07:30:00,0,2.4,48.5,0.0,0.0
2022-02-08 07:45:00,0,2.45,72.75,0.0,0.0
2022-02-08 08:00:00,0,2.5,97.0,0.0,0.0
2022-02-08 08:15:00,0,2.725,97.75,0.0,0.0
2022-02-08 08:30:00,0,2.95,98.5,0.3,0.31
2022-02-08 08:45:00,0,3.175,99.25,3.94,4.41
2022-02-08 09:00:00,1,3.4,100.0,7.64,10.65
2022-02-08 09:15:00,6,3.55,98.25,12.78,17.81
2022-02-08 09:30:00,0,3.7,96.5,18.21,25.37
2022-02-08 09:45:00,0,3.85,94.75,23.73,33.05
2022-02-08 10:00:00,0,4.0,93.0,29.19,40.65
2022-02-08 10:15:00,6,4.2,94.75,34.51,48.06
2022-02-08 10:30:00,11,4.4,96.5,39.6,55.16
2022-02-08 10:45:00,50,4.6,98.25,44.41,61.86
2022-02-08 11:00:00,145,4.8,100.0,48.89,68.09
2022-02-08 11:15:00,310,4.9,100.0,52.99,73.8
2022-02-08 11:30:00,369,5.0,100.0,56.67,78.93
2022-02-08 11:45:00,363,5.1,100.0,59.91,83.45
2022-02-08 12:00:00,465,5.2,100.0,62.68,87.31
2022-02-08 12:15:00,496,5.25,100.0,64.96,90.48
2022-02-08 12:30:00,393,5.300000000000001,100.0,66.73,92.94
